entity,count
china,1093
chinese,534
philippines,402
us,241
xi_jinping,93
sinovac,82
huang_xilian,79
xinjiang,68
hong_kong,62
wang_yi,55
chinese_embassy,53
wuhan,49
beijing,47
manila,42
huang,41
indonesia,36
sinopharm,33
brazil,29
filipino,28
asean,26
turkey,26
trump,26
pompeo,25
coronavac,22
sinovac_biotech,21
chinese_state_councilor,21
embassy,20
the_south_china_sea,20
duterte,18
huawei,17
shanghai,17
thailand,16
uae,15
doh,13
american,13
egypt,13
mexico,12
malaysia,12
japan,12
coronavirus,12
english,12
uk,12
teodoro_locsin,11
filipinos,11
simone,11
tiktok,11
asian,10
turkish,10
cpc,10
hubei,10
hungary,10
peru,9
chile,9
italy,9
foreign_ministry,9
ilocos_norte,9
houston,9
europe,9
covax,8
laoag,8
state_council_information_office,8
rcep,8
the_national_health_commission,8
brazilian,8
serbia,7
astrazeneca,7
russia,7
rodrigo_duterte,7
singapore,7
western,7
pfizer,7
european,7
pakistan,7
washington,7
eu,7
sinovac_biotech_ltd,7
donald_trump,7
dfa,7
italian,7
joko_widodo,7
un,7
locsin,7
fda,7
the_chinese_consulate,7
chinese_new_year,7
state,6
uygur,6
the_chinese_new_year,6
zhong_nanshan,6
zhou_youbin,6
serbian,6
australia,6
france,6
cebu,6
indonesian,6
bbc,6
cold_war,6
medical_center,6
morocco,6
npc,6
pilipinas,6
argentina,5
bri,5
brics,5
cdc,5
americans,5
china_international_import_expo,5
francisco_duque_iii,5
colombia,5
fdi,5
romana,5
america,5
the_united_arab_emirates,5
the_state_council,5
li_keqiang,5
the_communist_party_of_china,5
nhc,5
taiwan,5
aiib,5
